"","category","name","price","ratings","no_of_reviews"
"29","Pillow","Soft Hotel Quality PollyCotton Hallowfibre filled Sleeping Pillows Support for Stomach, back and Side Sleepers (2 Pack)","£73.71","4.3 out of 5 stars","1,219"
"30","Pillow","puredown® Goose Down Feather Pillows for Sleeping Bed Gusseted Pack of 2, 100% Cotton Pillow Cover Downproof Medium Support","£10.80","4.1 out of 5 stars","11,429"
"31","Pillow","BedStory 2 Pack Sleeping Pillows, Down Alternative Dust Mite Resistant & Hypoallergenic, Bed Pillow for Neck/Shoulder Pain/Allergy Sufferers and Back/Stomach/Side Sleepers Standard Size 42X70CM","£5.40","4.4 out of 5 stars","6,162"
"32","Pillow","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","£13.49","4.2 out of 5 stars","2,985"
"33","Pillow","WonderSleep Dream Rite Shredded Memory Foam Pillow Series Luxury Adjustable Loft Home Pillow Hotel Collection Grade Washable Removable Cooling Bamboo Derived Rayon Cover- Queen 1 Pack","£41.66","4.3 out of 5 stars","19,981"
"34","Pillow","BedStory Pillows 2 Pack, Hotel Quality Luxury Down Alternative Pillows, Soft and Supportive Pillows with Breathable Side Grid Design, for Back, Stomach and Side Sleepers 42 x 70 cm","£20.83","4.4 out of 5 stars","382"
"35","Pillow","BedStory Pillows 2 Pack, Hotel Quality Luxury Set of 2, Soft & Comfortable Improve Sleep Quality, Hypoallergenic Down Alternative Pillows for Stomach, Side or Back Sleepers, Washable, Standard Size","£29.16","4.2 out of 5 stars","281"
"36","Pillow","Silentnight Just Like Down Pillow - Hotel Bed Sleep Pillows Cuddle Support Pillow Pair - Machine Washable Soft Comfy Pillows,2 Count (Pack of 1), White","£14.58","4.3 out of 5 stars","2,760"
"37","Pillow","Maxzzz Down Alternative Fill Hotel Quality Pillows 2 Pack -Luxury Hotel Pillows Designed for Side Sleeper, Breathable Pillows Feature a Side Grid Design, Firm Pillows for Machine Washable","£41.66","4.2 out of 5 stars","23"
"38","Pillow","Threads For Bed Natural Goose Down & Feather Pillows (50% Down), Luxury Sleeping Pillow with Downproof Dual Layer Cover, Medium/Soft Density Support Pillow For Back & Side Sleeper (1 Pack, 19x29)","£82.50","4.0 out of 5 stars","621"
"39","Pillow","NIGHTS Hotel Quality 100% Duck Feather Pillow Pair Soft Extra Filling Pillow (Pack OF 2)","£50.01","4.0 out of 5 stars","907"
"40","Pillow","Slumberdown Supreme Support Pillow 2 Pack Firm Support Bed Pillows Designed for Side Sleepers","£51.54","4.0 out of 5 stars","243"
"41","Pillow","ANALIN 2 pack Goose Feather Down Pillows, 100% Cotton Shell, Non-allergenic & Anti dust mite, Soft Hotel Quality Pillows (50% Goose Down)","£18.32","4.3 out of 5 stars","1,255"
"42","Pillow","BedStory Pillows 2 Pack, Hotel Hypoallergenic Bed Pillows, Brushed Fabric, Luxury Sleeping Pillows for Back, Stomach or Side Sleepers (42X70 CM)","£9.16","4.5 out of 5 stars","58"
"43","Pillow","Cosi Home® Luxury Memory Foam Pillow with Bamboo Pillow Cover, Cooling Gel Filling & Adjustable Height - Breathable & Machine Washable for Side, Back & Front Sleepers (Size: 71 x 45cm)","£22.49","4.4 out of 5 stars","2,847"
"44","Pillow","Maxzzz Pillows 2 Pack, Soft Hypoallergenic Anti-Dust Pillows, Down Alternative Pillows, Bed Pillows for Neck & Side Sleeper, Standard Size Pillows with Removable Bamboo Fiber Cover (42 * 70CM)","£9.99","4.4 out of 5 stars","96"
"45","Pillow","Acanva Bed Pillows 2 Pack Hotel Collection Luxury Soft Inserts for Sleeping-Breathable and Comfortable for Stomach Back Sleepers, King (Pack of 2), White 2 Count","£5.00","4.6 out of 5 stars","4,196"
"46","Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","£10.80","4.4 out of 5 stars","30,787"
"47","Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","£5.40","4.4 out of 5 stars","27,825"
"48","Pillow","GIFTIMIZED Luxury Quilted Pillows Pack Hotel Quality Soft Bounce Back Cover Premium Filled Medium/Firm Support Anti-Allergy Anti-Dustmite (2 Pillows)","£15.29","4.6 out of 5 stars","8"
"49","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","£22.49","4.4 out of 5 stars","8,932"
"50","Pillow","Sofslee Pillows 2 Pack, Hotel Pillows of 2, Hypoallergenic Bed Pillows for Neck Pain, Luxury Sleeping Pillows for Side and Back Sleepers, Down Alternative Fluffy Soft Pillow Standard Size 42 x 70cm","£5.62","4.5 out of 5 stars","42"
"51","Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","£28.80","4.5 out of 5 stars","10,235"
"52","Pillow","Molblly Pillows 2 Pack Shredded Memory Foam Pillow, Cooing Pillows for Sleeping,Hypoallergenic Hotel Bed Pillows Pillows for Neck and Shoulder Pain,Standard Size Washable (51 * 66,1 Pair)","£11.99","4.4 out of 5 stars","885"
"53","Pillow","MH Home Pillows 2 Pack, Soft Support Bounce To Back Hotel Quality Extra Filling Bed Designed For Front, Side And Sleeper, Body","£18.45","4.1 out of 5 stars","3,165"
"54","Pillow","CompuClever Shredded Memory Foam Pillows for Sleeping Cooling Bed Pillow with Adjustable Loft Hypoallergenic Bed Pillows for Side and Back Sleepers Washable Removable Derived Rayon Cover (1-Pack)","£9.23","4.3 out of 5 stars","941"
"55","Pillow","HOMEFOUCS Luxury Goose Feather and Down Pillows, pack of 2 100% Cotton Shell, Non-allergenic & Anti dust mite, Soft Hotel Quality Pillows (40% Down)","£21.60","4.3 out of 5 stars","2,536"
"56","Pillow","Utopia Bedding Pillows 2 Pack Queen Size, (Navy) Hotel Quality Pillows, Brushed Fabric, Bed Pillow for Back, Stomach or Side Sleepers - 18"" x 26"" / 45 x 66 cm","£29.16","4.5 out of 5 stars","4,819"
"57","Pillow","Molblly Sleeping Pillows,Shredded Memory Foam Pillow,Best Orthopedic Sleeping Pillow Non-allergenic & Anti dust mite,Soft Hotel Quality Pillows,Standard Size(2 Pack, 51 x 66 cm)","£14.58","4.5 out of 5 stars","893"
