"","category","name","price","ratings","no_of_reviews"
"43","Socks","Men's 5 Pairs Wicking Breathable Cushion Comfortable Casual Crew Socks Multi Performance Walking Athletic Socks","£11.66","4.7 out of 5 stars","10,772"
"44","Socks","Men's Value Cotton Crew Socks","£14.95","4.4 out of 5 stars","2,641"
"45","Socks","Unisex 3 Stripes Crew Socks (pack of 3)","£1.25","4.6 out of 5 stars","655"
"46","Socks","6 PAIRS NON ELASTIC DIABETIC MENS EASY GRIP LOOSE SOFT TOP RICH COTTON SOCKS UK SIZE 6-11","£8.32","4.3 out of 5 stars","2,375"
"47","Socks","12 Pack Mens Work Socks - Thick Socks Men, Cushioned Padded Sole For Builders, Mechanics, Engineers - Boot Socks For Men, Work Socks For Men 9-12 Heavy Duty, Thick Work Socks Sweat Absorbing","£1.39","4.5 out of 5 stars","6,685"
"48","Socks","Trainer Ankle Socks for Men Women 10 Pairs Sport Low short Socks","£9.16","4.5 out of 5 stars","5,868"
"49","Socks","10 Pairs Womens Socks Cotton Soft Ladies Patterned Stripes and Spotts Socks for Womens Girls, Orange, One Size","£16.66","4.7 out of 5 stars","548"
"50","Socks","Women's Casual Crew Socks, 6 Pairs","£1.39","4.5 out of 5 stars","17,168"
"51","Socks","Unisex 3 Pack Crew Socks","£20.82","4.5 out of 5 stars","651"
"52","Socks","Trainer Socks Men 6 Pairs Ankle Socks Cushioned Sports Socks for Women Cotton Breathable Cushion Mens Running Socks Ladies Casual Nonslip Ankle Athletic Socks","£15.99","4.4 out of 5 stars","448"
"53","Socks","Men's Socks Bigfoot Honeycomb Top Cotton Rich Pack of 6, Size 12-14 uk/46-50 eur","£1.60","4.5 out of 5 stars","785"
"54","Socks","Unisex 3 Pack Crew Socks, Black, L UK","£16.99","4.5 out of 5 stars","436"
"55","Socks","Hippy Go Lucky Box of 6 Odd socks for Ladies - UK 4-8 EUR 37-42","£14.49","4.7 out of 5 stars","330"
"56","Socks","10 Pairs Black Men Socks Reinforced Heavy Duty Work Socks Crew Cushioned Winter Warm 6-12","£1.45","4.3 out of 5 stars","752"
"57","Socks","10 Pairs Men Sport Socks Size 6-11 Thick Cotton Cushion Crew Compression Ankle Large Pack For Under Trainer Blister Armour Black White Colour","£14.13","4.2 out of 5 stars","5,629"
