"","category","name","reviewer","review","date","ratings"
"1","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Svetoslav Goryanov","They are comfy, and good quality 👍🏻Will see how long they last…","Reviewed in the United Kingdom on 17 January 2024","4.7 out of 5 stars"
"2","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Amazon Customer","Lovely quality socks.  My grandson loves them. Great price","Reviewed in the United Kingdom on 15 July 2021","5.0 out of 5 stars"
"3","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Svetoslav Goryanov","Extremely comfortable.","Reviewed in the United Kingdom on 17 January 2024","3.0 out of 5 stars"
"4","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Kath M.B.","They're decent quality and comfortable, but id say the Nike Everyday socks are better in those rescpects. The Nike Everyday have a bit more cushion too.","Reviewed in the United Kingdom on 3 August 2023","5.0 out of 5 stars"
"5","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Samah Elsir","I am a slim footed size UK 8 so I risked the 6-8 set and they fit absolutely perfectly. They stay up well, also, as their elasticity is much better than I expected.","Reviewed in the United Kingdom on 24 January 2024","5.0 out of 5 stars"
"6","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Karl.","Great, value for money.","Reviewed in the United Kingdom on 19 March 2023","5.0 out of 5 stars"
"7","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Carl Nielsen","I keep ordering online them because they arrive and are the real deal. I don't mean fancy, just what they were described as.","Reviewed in the United Kingdom on 3 October 2023","4.0 out of 5 stars"
"8","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Norma Bolan","Top drawer socks!","Reviewed in the United Kingdom on 14 February 2024","5.0 out of 5 stars"
"9","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Oberon Houston","Good value for money","Reviewed in the United Kingdom on 28 December 2023","5.0 out of 5 stars"
"10","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Zenith","Just the job they fit on the feet n soak up the gym sweat - good value in my humble opinion! I should have gone for all white but I’ll do that next time - they wash well too! Get the sweat back out 😂 xEx update I bought more and I’m very happy wash well xEx","Reviewed in the United Kingdom on 31 December 2023","5.0 out of 5 stars"
"11","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Svetoslav Goryanov","They are comfy, and good quality 👍🏻Will see how long they last…","Reviewed in the United Kingdom on 17 January 2024","4.7 out of 5 stars"
"12","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Amazon Customer","Lovely quality socks.  My grandson loves them. Great price","Reviewed in the United Kingdom on 15 July 2021","5.0 out of 5 stars"
"13","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Svetoslav Goryanov","Extremely comfortable.","Reviewed in the United Kingdom on 17 January 2024","3.0 out of 5 stars"
"14","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Kath M.B.","They're decent quality and comfortable, but id say the Nike Everyday socks are better in those rescpects. The Nike Everyday have a bit more cushion too.","Reviewed in the United Kingdom on 3 August 2023","5.0 out of 5 stars"
"15","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Samah Elsir","I am a slim footed size UK 8 so I risked the 6-8 set and they fit absolutely perfectly. They stay up well, also, as their elasticity is much better than I expected.","Reviewed in the United Kingdom on 24 January 2024","5.0 out of 5 stars"
"16","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Karl.","Great, value for money.","Reviewed in the United Kingdom on 19 March 2023","5.0 out of 5 stars"
"17","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Carl Nielsen","I keep ordering online them because they arrive and are the real deal. I don't mean fancy, just what they were described as.","Reviewed in the United Kingdom on 3 October 2023","4.0 out of 5 stars"
"18","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Norma Bolan","Top drawer socks!","Reviewed in the United Kingdom on 14 February 2024","5.0 out of 5 stars"
"19","Socks","Champion Unisex Core 6pp Crew Ankle Socks, White, 6 8 UK","Oberon Houston","Good value for money","Reviewed in the United Kingdom on 28 December 2023","5.0 out of 5 stars"
